,sentence,masked_word
1761,A solar cooker can solve another big problem because it [MASK] not use any fuel.  ,does
1762,"With a solar cooker, they [MASK] not have to collect wood anymore.",do
1763,A yunomi usually [MASK]n't have a handle.,does
1764,How [MASK] you know that?,did
1765,"It looks like the sea, [MASK]n't it?",does
1766,I want to become a scientist and [MASK] something for the plants and animals of the Amazon.,do
1767,The children in today’s video [MASK]n’t know that cacao is made into chocolate.,do
1768,What can we [MASK] for those children?,do
1769,"[MASK]n’t cry, the girl said.",Do
1770,But the little mother [MASK] not stop singing.,did
1771,[MASK] you know what to do in an emergency?,Do
1772,[MASK]n’t run.,Do
1773,What [MASK] you mean?,do
1774,[MASK] you know what they can do?,Do
1775,"Deepa, what [MASK] you think?",do
1776,They [MASK] it quickly and precisely.,do
1777,"If they get out of control, we [MASK]n’t know what they’ll [MASK].",do
1778,[MASK] you want her to call you back?,Do
1779,We’re going to [MASK] our papers together.,do
1780,"Many Japanese students wear school uniforms, but most American students [MASK] not.",do
1781,"First, if we have school uniforms, we [MASK] not have to worry about what to wear every day.",do
1782,"I want everyone to learn the importance of respecting differences, and I believe there will be something I can [MASK] to help.  ",do
1783,"I’m still not sure what I can [MASK], but I hope my experiences will help me to find a way.",do
1784,"Why [MASK] I receive these mysterious cards, not the dentist’s ones?",did
1785,"I fainted, [MASK]n’t I? she said.  ",did
1786,"At the door, she asked, But why [MASK] you knock at my door?",did
1787,Rudolf [MASK] not think that he should tell her about the cards.,did
1788,Why [MASK] you give me these cards?,did
1789,Sit [MASK].,down
1790,Write this [MASK].,down
1791,Go [MASK] this street.,down
1792,Take [MASK] this bridge right now!,down
1793,Don’t take it [MASK]!,down
1794,Some of the people fell [MASK] near me.,down
1795,"The man pointed at a theater [MASK] the street and said, They’re for a new show.",down
1796,Look at these robots playing the taiko [MASK].,drums
1797,[MASK] class sings together on stage.,Each
1798,"We live far away from [MASK] other, but we can be friends.",each
1799,"Oh, they’re [MASK].",easy
1800,They’re not so [MASK].,easy
1801,"To play abroad is not [MASK], but I really want to try.",easy
1802,"Though it was not [MASK] to make a violin from the driftwood, Mr. Nakazawa created some beautiful violins.",easy
1803,It wasn’t [MASK] for me to get along with them.  ,easy
1804,"[MASK] so, it was very hard.",Even
1805,They [MASK] hold rakugo shows for their patients.,even
1806,I don’t [MASK] want to see them.,even
1807,"It can cook rice, boil eggs, and [MASK] bake cakes.",even
1808,Maybe [MASK] kawaii culture can become a part of Japanese tradition.,even
1809,"I heard some of them can walk, talk, and [MASK] kick a ball.",even
1810,"But [MASK] more, he felt incredibly free.",even
1811,[MASK] the Inuit are losing their traditional way of life.,Even
1812,Have you [MASK] heard of fair trade?,ever
1813,Have you [MASK] seen this mark?,ever
1814,Have you [MASK] been to the Statue of Liberty?,ever
1815,Have you [MASK] heard of auroras?,ever
1816,I don’t want to see his [MASK].,face
1817,Happy [MASK],faces
1818,"It’s [MASK] in Japan, so it’s spring in Brazil.",fall
1819,"On the morning of that day, a big bomb [MASK] on the city of Hiroshima.",fell
1820,Some of the people [MASK] down near me.,fell
1821,"She began to [MASK], but Rudolf caught her in his arms and carried her to a sofa in the room.  ",fall
1822,The man is changing his masks so [MASK].,fast
1823,I can run [MASK].  ,fast
1824,Pat worked hard and [MASK].,fast
1825,Walk [MASK]. ,fast
1826,I [MASK] a little scared.,felt
1827,"Tsutomu [MASK] happy and said, Yes.",felt
1828,We can [MASK] the brightness and sadness of Okinawa through his beautiful voice in his song Sugarcane Fields.,feel
1829,"In Lapland, I could [MASK] a sense of living within nature.",feel
1830,[MASK] the traditional rhythms created by technology.,Feel
1831,"Third, when we wear school uniforms, we can [MASK] that we belong to our school.",feel
1832,"Oh, now I’m sleepy, but I [MASK] much better.",feel
1833,"As the plane left him, Michio [MASK] lonely in a vast wilderness.  ",felt
1834,"But even more, he [MASK] incredibly free.",felt
1835,I [MASK] a little scared.,felt
1836,"Tsutomu [MASK] happy and said, Yes.",felt
1837,We can [MASK] the brightness and sadness of Okinawa through his beautiful voice in his song Sugarcane Fields.,feel
1838,"In Lapland, I could [MASK] a sense of living within nature.",feel
1839,[MASK] the traditional rhythms created by technology.,Feel
1840,"Third, when we wear school uniforms, we can [MASK] that we belong to our school.",feel
1841,"Oh, now I’m sleepy, but I [MASK] much better.",feel
1842,"As the plane left him, Michio [MASK] lonely in a vast wilderness.  ",felt
1843,"But even more, he [MASK] incredibly free.",felt
1844,Can you [MASK] Mt. Fuji in it?,find
1845,"They [MASK] a restaurant, Wildcat House.  ",found
1846,"In London, we can [MASK] both old buildings and new ones.",find
1847,"One day, they [MASK] a cow.",found
1848,Try to [MASK] them.,find
1849,I [MASK] my family’s good points.,found
1850,"When Tsutomu stopped talking, he [MASK] that the minister was crying.",found
1851,So you have to [MASK] ways to heat and cook food.  ,find
1852,"Renewable energy facilities often cost a lot, but you may [MASK] a simple idea, like a solar cooker.  ",find
1853,These are some of the people I [MASK] in it.,found
1854,"I’m still not sure what I can do, but I hope my experiences will help me to [MASK] a way.",find
1855,"I'm [MASK], thank you.",fine
1856,We caught many [MASK].,fish
1857,We gave some [MASK] to them.,fish
1858,[MASK] notebooks were 500 yen.,Five
1859,For [MASK] days.,five
1860,I joined the program [MASK] years ago.,five
1861,"We put [MASK] in it, and we take it back home.",food
1862,We’re the [MASK]!  ,food
1863,"We enjoyed delicious [MASK], too.",food
1864,But my host mother always gives me too much [MASK].,food
1865,"The [MASK] tastes delicious, but I can’t eat that much.",food
1866,"There are kitchens on the first floor, and [MASK] storage rooms on the second floor.",food
1867,So you have to find ways to heat and cook [MASK].  ,food
1868,A solar cooker is a tool to heat [MASK] in a pot.,food
1869,More than two billion people use wood to heat [MASK].  ,food
1870,He ran out of the room and came back with a lot of [MASK].,food
1871,"He learned about Inuit [MASK], family life, and culture.  ",food
1872,They have to hunt for meat and gather blueberries for [MASK].  ,food
1873,The polar bears and seals photographed by Michio cannot hunt and catch [MASK].  ,food
1874,Open your book to page [MASK].,four
1875,My group had [MASK] members who all had different ideas and opinions.  ,four
1876,Are you [MASK] on Saturday?,free
1877,"Yes, I'm [MASK].",free
1878,I’m [MASK] on Sunday.,free
1879,The program is [MASK].,free
1880,"In 2010, she was finally set [MASK].",free
1881,"She is still fighting for a world that is [MASK] from the displaced, the homeless, and the hopeless.",free
1882,"But even more, he felt incredibly [MASK].",free
1883,Are you [MASK] America?,from
1884,Are you [MASK] New York?,from
1885,I'm [MASK] Boston.,from
1886,He's [MASK] Canada.,from
1887,I’m [MASK] India.,from
1888,These are pictures [MASK] our school festival.,from
1889,Those messages are orders [MASK] this restaurant! ,from
1890,I'm Judy Smith [MASK] the United States.,from
1891,Your school is different [MASK] ours.,from
1892,"We live far away [MASK] each other, but we can be friends.",from
1893,Do you want anything [MASK] the U.K.?,from
1894,"Maybe the name comes [MASK] its builder, Benjamin Hall.",from
1895,We can see a great view [MASK] the top.,from
1896,It took about one hour [MASK] London to Oxford by train.,from
1897,Maybe you know it [MASK] the Harry Potter movies.,from
1898,So I remember this hall [MASK] many scenes.,from
1899,I’m [MASK] the United States.,from
1900,I learned an important lesson [MASK] this experience.,from
1901,"[MASK] now on, when I see someone in need, I’ll give them a hand.",From
1902,About 300 people [MASK] 60 families live together in our house.,from
1903,"Tsutomu’s Italian voice trainer once said to him, Your voice is a gift [MASK] God, and also [MASK] your father.",from
1904,Soon some people [MASK] an aquarium come to rescue her.,from
1905,I’m Anita Lopez [MASK] Venezuela.,from
1906,Drinking water [MASK] rivers and lakes is one of the biggest causes of disease.,from
1907,A lot of children die [MASK] its smoke.,from
1908,"We get most of this energy [MASK] gas and oil, but they are limited.",from
1909,They were brought [MASK] Japan to Europe.,from
1910,It's made [MASK] beef.,from
1911,This yunomi is Arita ware [MASK] Saga Prefecture.,from
1912,"Actually, the first aloha shirts in Hawaii were made by people [MASK] Asia.",from
1913,They were made [MASK] Japanese kimonos.,from
1914,How were the kimonos brought [MASK] Japan to Hawaii? ,from
1915,I'm Ricardo Takahashi [MASK] Rio de Janeiro.,from
1916,The oxygen in this classroom may come [MASK] Brazil!,from
1917,"[MASK] your biggest fan, Takigawa Erika",From
1918,It was to make violins [MASK] driftwood [MASK] the disaster.,from
1919,"Though it was not easy to make a violin [MASK] the driftwood, Mr. Nakazawa created some beautiful violins.",from
1920,How many stops is Aoyama-itchome [MASK] here?,from
1921,Which line should I take [MASK] Aoyama-itchome?,from
1922,This is a book I brought [MASK] the United States.,from
1923,"She is still fighting for a world that is free [MASK] the displaced, the homeless, and the hopeless.",from
1924,"In New York, I’ve met people [MASK] all over the world.  ",from
1925,Filmmaking taught me to accept differences and learn [MASK] other people.  ,from
1926,"In the evening, I watched a soccer [MASK] on TV.",game
1927,"Today, I saw the [MASK] at Yankee Stadium.",game
1928,"At first, it was difficult for us to win a [MASK], but we’ve improved a lot.  ",game
1929,Who’s this [MASK]?,girl
1930,A mother was singing to her little [MASK] under the tree.,girl
1931,A young [MASK] was singing to a little boy.,girl
1932,"Don’t cry, the [MASK] said.",girl
1933,"Be a good boy, said the [MASK].",girl
1934,The [MASK]’s voice became weaker and weaker.,girl
1935,"Morning came and the sun rose, but the [MASK] never moved again.",girl
1936,"I’m Takigawa Erika, a 15-year-old [MASK] living in New York.  ",girl
1937,We [MASK] some fish to them.,gave
1938,But my host mother always [MASK] me too much food.,gives
1939,"From now on, when I see someone in need, I’ll [MASK] them a hand.",give
1940,"In 2012, he was [MASK] special birthday parties in Hong Kong and Taiwan.",given
1941,"She was locked up for 15 years in total, but she never [MASK] up.",gave
1942,Why did you [MASK] me these cards?,give
1943,I'm [MASK] you like it.,glad
1944,I'm [MASK] I could finally come to Japan.,glad
1945,I was [MASK] to learn about fair trade today.,glad
1946,"[MASK] morning, Takashi.",Good
1947,"[MASK] morning, Jill.",Good
1948,"[MASK] morning, everyone.",Good
1949,[MASK] morning.,Good
1950,That’s [MASK].,good
1951,Not so [MASK].,good
1952,Her English is very [MASK].,good
1953,Do you know any other [MASK] books?,good
1954,We prayed for a [MASK] year.,good
1955,Our soccer team has a [MASK] captain.  ,good
1956,We had a [MASK] time.,good
1957,We had a [MASK] time.,good
1958,"To be a [MASK] programmer, I study math, science, and English really hard.",good
1959,"Ben, her neighbor, was a [MASK] friend.",good
1960,Your family has its [MASK] points.,good
1961,I found my family’s [MASK] points.,good
1962,Some doctors think that laughter is also [MASK] for our health.,good
1963,They name her Winter and take [MASK] care of her.,good
1964,Doraemon is one [MASK] example.,good
1965,It's very [MASK].,good
1966,We became very [MASK] friends.,good
1967,"Be a [MASK] boy, said the girl.",good
1968,School uniforms are [MASK] for students in many ways.,good
1969,"Rudolf said, Well, [MASK] night.",good
1970,The habitat of the caribou is [MASK] smaller.  ,growing
1971,Raise your [MASK].,hand
1972,People clapped their [MASK] and prayed.  ,hands
1973,Wash your [MASK] in the right way.,hands
1974,"From now on, when I see someone in need, I’ll give them a [MASK].",hand
1975,A fan and a [MASK] towel.,hand
1976,I was [MASK] them out with the dentist’s cards.,handing
1977,I practice it very [MASK].,hard
1978,He came to school early and practiced very [MASK].  ,hard
1979,"He said, Practice [MASK], and we can get the trophy.  ",hard
1980,"To be a good programmer, I study math, science, and English really [MASK].",hard
1981,Pat worked [MASK] and fast.,hard
1982,They try [MASK] to talk with me.,hard
1983,"Even so, it was very [MASK].",hard
1984,So he went to college and studied very [MASK].,hard
1985,"Collecting wood is [MASK] work, especially for women and children.  ",hard
1986,"They work [MASK], but they can’t make enough money to live.",hard
1987,"But as we were all working [MASK] for the same goal, we came to accept one another.  ",hard
1988,Do you [MASK] any pets now?,have
1989,But my parents [MASK] some rabbits in Boston.,have
1990,How many rabbits do they [MASK]?,have
1991,Do you [MASK] a picture?,have
1992,"Oh, we [MASK] too much. ",have
1993,What do you [MASK] for breakfast?,have
1994,I often [MASK] toast and milk.,have
1995,I [MASK] rice and miso soup.,have
1996,"I also [MASK] an egg, natto, and tofu.",have
1997,I [MASK] a headache.,have
1998,The city [MASK] many beautiful beaches.,has
1999,We [MASK] about 200 students and 16 teachers.,have
2000,We [MASK] lunch at twelve thirty.,have
2001,I [MASK] an English book about Boston with me.,have
2002,[MASK] a nice winter vacation and a happy new year!,Have
2003,"Well, this museum [MASK] many works of Japanese art.",has
2004,Our soccer team [MASK] a good captain.  ,has
2005,I [MASK] a wonderful time there.  ,had
2006,"Well, [MASK] a nice day, Ms. Baker.",have
2007,I am [MASK] a great time.,having
2008,We [MASK] our sports day in June.,had
2009,"It said, We [MASK] many orders.",have
2010,We [MASK] a good time.,had
2011,Midori stationery shop is [MASK] a sale.,having
2012,My school [MASK] lots of fun events.,has
2013,"Last month, we [MASK] a dance.",had
2014,What events do you [MASK] at your school?,have
2015,"Our school [MASK] fun events, like a chorus contest.",has
2016,We [MASK] a good time.,had
2017,We [MASK] many things to do.,have
2018,"For my future, I [MASK] many things to learn.",have
2019,Do you [MASK] any plans next Sunday afternoon?,have
2020,I [MASK] two reasons.,have
2021,It [MASK] the same short legs as my other cows.,has
2022,"It [MASK] the same long, black tail as my other cows.",has
2023,Do you [MASK] any work for me?,have
2024,We [MASK] a lot of work for you.,have
2025,I [MASK] many other bridges to build.,have
2026,You [MASK] to follow the family’s rules.,have
2027,You [MASK] to speak English here.,have
2028,But you don’t [MASK] to speak perfect English.,have
2029,We all [MASK] to make our own beds.,have
2030,"Do I [MASK] to eat everything, or can I tell her?",have
2031,"They don’t take me anywhere, so I [MASK] nothing to do on weekends.",have
2032,Your family [MASK] its good points.,has
2033,I [MASK] to look after my neighbor’s children.,have
2034,Did you know that shampoo bottles [MASK] bumps?,have
2035,We can hold it easily because it [MASK] a special shape.,has
2036,Relax and [MASK] fun!,have
2037,"If we are hungry, we [MASK] to go downstairs.",have
2038,The dolphin [MASK] a serious tail injury.,has
2039,We [MASK] more in the back.,have
2040,So you [MASK] to find ways to heat and cook food.  ,have
2041,"With a solar cooker, they do not [MASK] to collect wood anymore.",have
2042,Sometimes a simple idea [MASK] the power to change the world for the better.,has
2043,May I [MASK] some water?,have
2044,A yunomi usually doesn't [MASK] a handle.,have
2045,I[MASK] lived in Japan for a month.,'ve
2046,I[MASK] loved Japanese anime since I was a little child.,'ve
2047,How long [MASK] you known him?,have
2048,The Amazon [MASK] been important to Brazil for many years.,has
2049,"The Amazon [MASK] been helpful to everyone here, too.",has
2050,The rain forest of the Amazon [MASK] many unique animals.,has
2051,"These animals [MASK] been there for a long time, but they're losing their home now.",have
2052,It [MASK] continued for years.,has
2053,I[MASK] been worried about this problem since I was in elementary school.,'ve
2054,"I lived in Japan before, and I [MASK] been a big fan of yours since then.",have
2055,I [MASK] a question.,have
2056,You [MASK] been successful in the United States.,have
2057,Please write back if you [MASK] time.,have
2058,[MASK] you ever heard of fair trade?,Have
2059,"Yes, I [MASK].",have
2060,"No, I [MASK]n’t.",have
2061,[MASK] you ever seen this mark?,Have
2062,I[MASK] seen it before.,’ve
2063,I[MASK] never seen it before.,’ve
2064,I[MASK] just taken a look at the pamphlet.,’ve
2065,[MASK] you looked at the prices yet?,Have
2066,[MASK] you?,Have
2067,I[MASK] already checked some products.,’ve
2068,Many children in Ghana [MASK] to work on farms to help their families.,have
2069,Some of them [MASK] never been to school.,have
2070,I[MASK] just tried some fair trade chocolate with my family.,’ve
2071,They [MASK] never eaten chocolate themselves.,have
2072,[MASK] you ever been to the Statue of Liberty?,Have
2073,"No, I [MASK]n’t.",have
2074,I[MASK] love to.,’d
2075,I[MASK] never seen such a beautiful temple before!,’ve
2076,I[MASK] lived in Helsinki for more than ten years.,’ve
2077,It [MASK] been popular among tourists for a long time because the nature there is really beautiful.,has
2078,[MASK] you ever heard of auroras?,Have
2079,I[MASK] never seen such a beautiful aurora before.,’ve
2080,This [MASK] become the best memory of my junior high school days so far.,has
2081,"Through the years , it [MASK] seen many things.",has
2082,They [MASK] burns all over their bodies.,had
2083,The violins [MASK] a tender sound with the power to heal people.,have
2084,They [MASK] been passed around to many musicians.,have
2085,"As of January 2014, more than 200 musicians [MASK] played the violins.",have
2086,"Millions of people [MASK] listened to them at concerts or on TV not only in Japan, but also around the world.",have
2087,Is there anyone you[MASK] seen before?,’ve
2088, I think that we should [MASK] school uniforms.,have
2089,"First, if we [MASK] school uniforms, we do not [MASK] to worry about what to wear every day.",have
2090,"Second, [MASK] school uniforms saves us money on clothes.",having
2091,I think that we should also [MASK] school uniforms in the United States.,have
2092,I[MASK] been a member of the volleyball team for three years.  ,’ve
2093,"At first, it was difficult for us to win a game, but we[MASK] improved a lot.  ",’ve
2094,"In New York, I[MASK] met people from all over the world.  ",’ve
2095,But a class called Filmmaking [MASK] changed me.,has
2096,My group [MASK] four members who all [MASK] different ideas and opinions.  ,had
2097,This is the greatest experience that I[MASK] had in my school life.  ,’ve
2098,"Behind the card man, Rudolf saw a building that [MASK] the dentist’s office and some shops on the first two floors.  ",had
2099,I [MASK]n’t eaten for three days.,have
2100,And you [MASK] no family or friends in the city?,have
2101,They [MASK] to hunt for meat and gather blueberries for food.  ,have
2102,"We only [MASK] one life to live, wrote Michio.  ",have
2103,"In case of an earthquake, cover your [MASK] first.",head
2104,I want to [MASK] about it.,hear
2105,"One day, he [MASK] some hymns on the radio.",heard
2106,"He wanted to [MASK] some other hymns, and so he went to a church.",hear
2107,Have you ever [MASK] of fair trade?,heard
2108,I was surprised to [MASK] that.,hear
2109,Have you ever [MASK] of auroras?,heard
2110,"One summer night, the tree [MASK] a lullaby.",heard
2111,"I [MASK] a lullaby that night, too.",heard
2112,I [MASK] a weak voice.,heard
2113,"I [MASK] some of them can walk, talk, and even kick a ball.",heard
2114,Then she [MASK] the knock on her green door.,heard
2115,Can you [MASK] me with my homework?,help
2116,I needed a lot of [MASK].,help
2117,He decided to [MASK] other people in need.,help
2118,Sawyer tries to [MASK] her.,help
2119,May I [MASK] you?,help
2120,"In 1975, the government started it to [MASK] poor children in Venezuela.",help
2121,"[MASK] yourself, Erika.",Help
2122,Many children in Ghana have to work on farms to [MASK] their families.,help
2123,"After the earthquake hit Japan in 2011, he wondered how to [MASK] as a craftsperson.",help
2124,I think robots make our lives better because they [MASK] us in many ways.,help
2125,"Future robots may be able to [MASK] them when they take a bath, or go shopping.",help
2126,"I want everyone to learn the importance of respecting differences, and I believe there will be something I can do to [MASK].  ",help
2127,"I’m still not sure what I can do, but I hope my experiences will [MASK] me to find a way.",help
2128,[MASK] you are.,Here
2129,[MASK] you are.,Here
2130,[MASK]’s your change.,Here
2131,[MASK]’sone.,Here
2132,[MASK]. ,Here
2133,We can eat [MASK].,here
2134,[MASK] you are.,Here
2135,I’m [MASK] to learn about jobs in restaurants.,here
2136,"Please stay [MASK], Pat.",here
2137,You have to speak English [MASK].,here
2138,What will happen [MASK]?,here
2139,"[MASK] are your donuts, Mark!",Here
2140,[MASK] you are.,Here
2141,"The Amazon has been helpful to everyone [MASK], too.",here
2142,It says more than fifty products are sold [MASK].,here
2143,Mommy is [MASK].,here
2144,How many stops is Aoyama-itchome from [MASK]?,here
2145,"I lived in Japan before, and moved [MASK] last year.",here
2146,Is she in junior [MASK] school?,high
2147,Imagine that you live on a [MASK] mountain.  ,high
2148,I'm a [MASK] school student in Hawaii.,high
2149,I am a junior [MASK] school student in New York.,high
2150,I’m a junior [MASK] school student in Finland.,high
2151,This has become the best memory of my junior [MASK] school days so far.,high
2152,We want to [MASK] a farewell party for you.,hold
2153,We can [MASK] it easily because it has a special shape.,hold
2154,They even [MASK] rakugo shows for their patients.,hold
2155,She [MASK] him in her arms like a real mother.,held
2156,She [MASK] the boy more tightly and began to sing again.,held
2157,I practice at [MASK].,home
2158,"We put food in it, and we take it back [MASK].",home
2159,This is a picture of my [MASK] in Brazil.,home
2160,"Which do you speak at [MASK], English or Portuguese?",home
2161,I leave [MASK] at seven fifty.,home
2162,Both of them left [MASK] when he was a baby.,home
2163,"These animals have been there for a long time, but they're losing their [MASK] now.",home
2164,I was really impressed when you hit a [MASK] run.,home
2165,Some robots work in hospitals and [MASK].,homes
2166,"On his way [MASK], Rudolf thought about his day.  ",home
2167,"In the future, I [MASK] to teach the importance of nature to the next generation.",hope
2168,"I’m still not sure what I can do, but I [MASK] my experiences will help me to find a way.",hope
2169,She ran out of money and stayed in her room without [MASK].  ,hope
2170,It took about one and a half [MASK] by plane.,hours
2171,How many [MASK] did you spend at the museum?,hours
2172,We spent three [MASK] there!,hours
2173,It took about one [MASK] from London to Oxford by train.,hour
2174,"These days, many public places use the [MASK] of universal design.",idea
2175,Sawyer thinks of an [MASK].,idea
2176,"Renewable energy facilities often cost a lot, but you may find a simple [MASK], like a solar cooker.  ",idea
2177,Sometimes a simple [MASK] has the power to change the world for the better.,idea
2178,This [MASK] makes me happy.,idea
2179,Then he came up with an [MASK].,idea
2180,My group had four members who all had different [MASK] and opinions.  ,ideas
2181,"We brought different [MASK] together, and completed a wonderful movie in the end.  ",ideas
2182,"Well, they come [MASK] the backyard of our house.",into
2183,It’s made [MASK] chocolate.,into
2184,The children in today’s video don’t know that cacao is made [MASK] chocolate.,into
2185,I [MASK] the program five years ago.,joined
2186,A great number of people who [MASK] it were killed.,joined
2187,"People needed a strong leader, and asked Aung San Suu Kyi to [MASK] them.",join
2188,Between [MASK] and September.,July
2189,We had our sports day in [MASK].,June
2190,My school starts in September and ends in [MASK].,June
2191,We went to Kyoto on a school trip in [MASK].,June
2192,But [MASK] a little.,just
2193,[MASK] a second!,Just
2194,[MASK] a second.,Just
2195,"His motto is Try to be the only one, not [MASK] number one.",just
2196,I’ve [MASK] taken a look at the pamphlet.,just
2197,I’ve [MASK] tried some fair trade chocolate with my family.,just
2198,"Not long ago, robots like those were [MASK] a dream.",just
2199,It was [MASK] an advertisement for a dentist’s office.,just
2200,There is always an adventure [MASK] around the corner . . .,just
2201,Let's [MASK] in touch.,keep
2202,And I think it’s important to [MASK] the past in mind.,keep
2203,"In my opinion, you should [MASK] thinking about the best way to live with robots.",keep
2204,"The world that she wants may not come easily, but she [MASK] striving for it.",keeps
2205,I’m going to [MASK] playing volleyball.  ,keep
2206,Everyone in my host family is [MASK] to me.,kind
2207,They’re [MASK] and interesting.,kind
2208,There are many [MASK] of yunomi in Japan.,kinds
2209,Everyone in my host family is [MASK] to me.,kind
2210,They’re [MASK] and interesting.,kind
2211,There are many [MASK] of yunomi in Japan.,kinds
2212,Do you [MASK] about judo?,know
2213,Do you [MASK] the animals of Australia?,know
2214,I [MASK] koalas and kangaroos.,know
2215,I don’t [MASK].,know
2216,Do you [MASK] this book?,know
2217,Do you [MASK] any other good books?,know
2218,"Oh, I [MASK] Peter Rabbit.",know
2219,Do you [MASK] about her?,know
2220,Maybe you [MASK] it from the Harry Potter movies.,know
2221,She [MASK] a lot about nature.,knows
2222,But I don’t [MASK] how.,know
2223,Did you [MASK] that shampoo bottles have bumps?,know
2224,Winter [MASK] that Sawyer saved her life.,knows
2225,"I [MASK] little about them before, but I learned that both are much loved in foreign countries.",knew
2226,Today aloha shirts are [MASK] around the world as example of Hawaiian culture.,known
2227,How did you [MASK] that?,know
2228,How long have you [MASK] him?,known
2229,The children in today’s video don’t [MASK] that cacao is made into chocolate.,know
2230,Do you [MASK] what to do in an emergency?,know
2231,Do you [MASK] what they can do?,know
2232,I [MASK] what you mean. ,know
2233,"If they get out of control, we don’t [MASK] what they’ll do.",know
2234,I read it [MASK] night.  ,last
2235,This pen was 150 yen [MASK] week.,last
2236,"[MASK] month, we had a dance.",Last
2237,"Ben, my bad neighbor, made it [MASK] week.",last
2238,I mistook the shampoo for the conditioner [MASK] night.,last
2239,"[MASK] summer, I met Sayuri, a 17-year-old Japanese student.",Last
2240,"[MASK] winter, we went to Lapland on a school trip.",Last
2241,"I lived in Japan before, and moved here [MASK] year.",last
2242,"Oh, I’m [MASK]!",late
2243,"Kota, you’re [MASK].",late
2244,Turn [MASK] at the second traffic light.,left
2245,I [MASK] home at seven fifty.,leave
2246,He [MASK] with a smile.,left
2247,Why did everyone [MASK] me?,leave
2248,Both of them [MASK] home when he was a baby.,left
2249,But can I [MASK] a message?,leave
2250,"She wanted to visit him in the U.K., but she could not [MASK] her suffering people behind.",leave
2251,"As the plane [MASK] him, Michio felt lonely in a vast wilderness.  ",left
2252,"On New Year’s Eve, my friend and I enjoyed the Japanese way of [MASK].  ",life
2253,But I enjoy my [MASK] in Japan with you all.,life
2254,I used a wheelchair for the first time in my [MASK] today.,life
2255,Tsutomu told him about his [MASK].,life
2256,Tsutomu started a new [MASK] as a member of the minister’s warm family.,life
2257,Winter knows that Sawyer saved her [MASK].,life
2258,My [MASK] is happier than before.,life
2259,We use a lot of energy in our daily [MASK].  ,lives
2260,"Many people lost their [MASK], and many others were injured.",lives
2261,I think robots make our [MASK] better because they help us in many ways.,lives
2262,It was about the [MASK] of Aung San Suu Kyi.,life
2263,Political [MASK],Life
2264,Personal [MASK],Life
2265,This is the greatest experience that I’ve had in my school [MASK].  ,life
2266,One photograph changed Hoshino Michio’s [MASK].  ,life
2267,"He learned about Inuit food, family [MASK], and culture.  ",life
2268,"For the Inuit, [MASK] depends on understanding nature.  ",life
2269,"We only have one [MASK] to live, wrote Michio.  ",life
2270,"Though his [MASK] was cut short, Michio seemed truly happy as a photographer.  ",life
2271,Even the Inuit are losing their traditional way of [MASK].,life
2272,and to show us the importance of [MASK] on the Earth.  ,life
2273,Michio’s own [MASK] was changed because of one photograph.  ,life
2274,Perhaps his photographs will also change someone’s [MASK].  ,life
2275,I [MASK] spaghetti.,like
2276,Do you [MASK] spaghetti?,like
2277,But I [MASK] pizza.,like
2278,I [MASK] math.,like
2279,"I [MASK] music, too.",like
2280,Do you [MASK] baseball?,like
2281,"I don’t [MASK] math, but I study it every day.",like
2282,I [MASK] volleyball.,like
2283,"Does Haruki [MASK] koalas, too?",like
2284,She [MASK] soccer.,likes
2285,I [MASK] this book.,like
2286,"I [MASK] that one, Winnie-the-Pooh.",like
2287,I [MASK] him very much.,like
2288,I [MASK] this city.,like
2289,"Our school has fun events, [MASK] a chorus contest.",like
2290,"First, I [MASK] to surf the Internet.",like
2291,"I love nature, and I [MASK] to hike in the woods.",like
2292,They [MASK] to laugh.,like
2293,What is rakugo [MASK]?,like
2294,I [MASK] my house and town because living together with a big family is fun.,like
2295,He [MASK] music very much.,liked
2296,You’re the only one in the world with a voice [MASK] that.,like
2297,I [MASK] these jackets.,like
2298,I [MASK] it because there are many cool characters in it.,like
2299,I [MASK] classical music.,like
2300,I [MASK] it because it’s very emotional.,like
2301,"When you are in a place [MASK] this, you can use a solar cooker.  ",like
2302,"Renewable energy facilities often cost a lot, but you may find a simple idea, [MASK] a solar cooker.  ",like
2303,"There are many places to see in Canada, [MASK] Niagara Falls and Canadian Rockies.",like
2304,"In fact, ukiyo-e prints were sold [MASK] posters.",like
2305,I think manga and anime will be traditional Japanese arts [MASK] ukiyo-e someday.,like
2306,Would you [MASK] some more?,like
2307,I'm glad you [MASK] it.,like
2308,Would you [MASK] another piece of meat loaf?,like
2309,I [MASK] them.,like
2310,"Yes, I [MASK] them, too.",like
2311,"It looks [MASK] the sea, doesn't it?",like
2312,Would you [MASK] to come with me?,like
2313,She held him in her arms [MASK] a real mother.,like
2314,"Not long ago, robots [MASK] those were just a dream.",like
2315,"Some robots can put together products, [MASK] cars or cameras.",like
2316,I [MASK] spaghetti.,like
2317,Do you [MASK] spaghetti?,like
2318,But I [MASK] pizza.,like
2319,I [MASK] math.,like
2320,"I [MASK] music, too.",like
2321,Do you [MASK] baseball?,like
2322,"I don’t [MASK] math, but I study it every day.",like
2323,I [MASK] volleyball.,like
2324,"Does Haruki [MASK] koalas, too?",like
2325,She [MASK] soccer.,likes
2326,I [MASK] this book.,like
2327,"I [MASK] that one, Winnie-the-Pooh.",like
2328,I [MASK] him very much.,like
2329,I [MASK] this city.,like
